ID,Link,Title
11424,https://indico.jlab.org/event/459/contributions/11424/,"Kiwaku, a C++20 library for multidimensional arrays, applied to ACTS tracking",https://indico.jlab.org/event/459/contributions/11424/attachments/9332/13533/presentation_chep_2023-05-07_02h50.pdf
11366,https://indico.jlab.org/event/459/contributions/11366/,Level-3 trigger for CLAS12 with Artificial Intelligence,https://indico.jlab.org/event/459/contributions/11366/attachments/9251/13483/CHEP_AITrigger_May2023.pdf
11723,https://indico.jlab.org/event/459/contributions/11723/,Machine learning based compression for scientific data,https://indico.jlab.org/event/459/contributions/11723/attachments/9295/13647/Baler_v2.pdf
11829,https://indico.jlab.org/event/459/contributions/11829/,Madgraph5_aMC@NLO on GPUs and vector CPUs: experience with the first alpha release,https://indico.jlab.org/event/459/contributions/11829/attachments/9445/13694/23.05.-Madgraph-CHEP-SH.pdf
11670,https://indico.jlab.org/event/459/contributions/11670/,ML_INFN project: status report and future perspectives,https://indico.jlab.org/event/459/contributions/11670/attachments/9262/13434/The%20ML_INFN%20Initiative.pdf
11449,https://indico.jlab.org/event/459/contributions/11449/,PARSIFAL: parametrized simulation of triple-GEM and micro-RWELL response to a charged particle,https://indico.jlab.org/event/459/contributions/11449/attachments/9374/13595/Farinelli_PARSIFAL_CHEP2023.pdf
11562,https://indico.jlab.org/event/459/contributions/11562/,Schema-Evolution and the TTree within HDF5,https://indico.jlab.org/event/459/contributions/11562/attachments/9296/13490/CHEP_2023_HDTree.pdf
11627,https://indico.jlab.org/event/459/contributions/11627/,The Spanish CMS Analysis Facility at CIEMAT,https://indico.jlab.org/event/459/contributions/11627/attachments/9205/13364/CMS_Spanish_AF_CHEP_2023.pdf
11418,https://indico.jlab.org/event/459/contributions/11418/,A physical dimensions aware evaluator for High Energy Physics applications,https://indico.jlab.org/event/459/contributions/11418/attachments/9355/13856/A_dimensions_aware_evaluator_for_High_Energy_Physics_applications.pdf
11850,https://indico.jlab.org/event/459/contributions/11850/,Acceleration beyond lowest order event generation,https://indico.jlab.org/event/459/contributions/11850/attachments/9398/13630/20230508_CHEP23_Zenny_Wetterstan_Acceleration_beyond_lowest_order_event_generation.pdf
11309,https://indico.jlab.org/event/459/contributions/11309/,ALTO/TCN: Toward an Architecture of Efficient and Flexible Data Transport Control for Data-Intensive Sciences using Deep Infrastructure Visibility,https://indico.jlab.org/event/459/contributions/11309/attachments/9313/13510/2023-05-08-chep2023-alto-tcn.pptx
11379,https://indico.jlab.org/event/459/contributions/11379/,Impact of the high-level trigger for detecting long-lived particles at LHCb,https://indico.jlab.org/event/459/contributions/11379/attachments/9229/13393/Trigger2023.pdf
11728,https://indico.jlab.org/event/459/contributions/11728/,Pion/Kaon Identification at STCF DTOF Based on Classical/Quantum Convolutional Neural Network,https://indico.jlab.org/event/459/contributions/11728/attachments/9452/13841/QCNN-v2.pdf
11594,https://indico.jlab.org/event/459/contributions/11594/,ROOT’s RNTuple I/O Subsystem: The Path to Production,https://indico.jlab.org/event/459/contributions/11594/attachments/9389/13620/rntuple-chep23.pdf
11676,https://indico.jlab.org/event/459/contributions/11676/,ScienceMesh: pan-European collaboration fabric for Science,https://indico.jlab.org/event/459/contributions/11676/attachments/9470/13728/sciencemesh-cs3-2023-hugo.pdf
11426,https://indico.jlab.org/event/459/contributions/11426/,"The AtlFast3, the ATLAS fast simulation tool in Run3",https://indico.jlab.org/event/459/contributions/11426/attachments/9314/13511/AtlFast3_MicheleFaucciGiannelli.pptx
11616,https://indico.jlab.org/event/459/contributions/11616/,The Creation and Evolution of the US ATLAS Shared Analysis Facilities,https://indico.jlab.org/event/459/contributions/11616/attachments/9447/13697/US%20ATLAS%20Analysis%20Facilities%20-%20CHEP%202023.pdf
11477,https://indico.jlab.org/event/459/contributions/11477/,The Ligo-Virgo-KAGRA Computing Infrastructure for Gravitational-wave Research,https://indico.jlab.org/event/459/contributions/11477/attachments/9515/13797/VIR-0425A-23_TheLigoVirgoKAGRAComputingInfr.pdf
11673,https://indico.jlab.org/event/459/contributions/11673/,10 years of Zenodo – growing the world’s largest general-purpose scholarly repository,https://indico.jlab.org/event/459/contributions/11673/attachments/9464/13720/2023-05-08-chep2023-zenodo-10years.pdf
11330,https://indico.jlab.org/event/459/contributions/11330/,A study case of Content Delivery Network solutions for the CMS experiment,https://indico.jlab.org/event/459/contributions/11330/attachments/9299/13833/CHEP%202023-v.pdf
11559,https://indico.jlab.org/event/459/contributions/11559/,Integration of RNTuple in ATLAS Athena,https://indico.jlab.org/event/459/contributions/11559/attachments/9294/13486/CHEP23_Integration_of_RNTuple_in_ATLAS.pdf
11830,https://indico.jlab.org/event/459/contributions/11830/,Parallelization of Air Shower Simulation with IceCube,https://indico.jlab.org/event/459/contributions/11830/attachments/9276/13450/Meagher_2023May_CHEP_Parallel_Air_Shower.pdf
11734,https://indico.jlab.org/event/459/contributions/11734/,Particle identification with machine learning in ALICE Run 3,https://indico.jlab.org/event/459/contributions/11734/attachments/9290/13481/Kabus%20CHEP%20May%202023.pdf
11414,https://indico.jlab.org/event/459/contributions/11414/,Physics Performance of the ATLAS GNN4ITk Track Reconstruction Chain,https://indico.jlab.org/event/459/contributions/11414/attachments/9421/13699/CHEP2023%20GNN%20Performance%20for%20ITk.pdf
11386,https://indico.jlab.org/event/459/contributions/11386/,Reconstructing jets in the Phase-2 upgrade of the CMS Level-1 Trigger with a seeded cone algorithm,https://indico.jlab.org/event/459/contributions/11386/attachments/9466/13723/summers_l1tscj.pdf
11415,https://indico.jlab.org/event/459/contributions/11415/,Simulation and Reconstruction of Photoelectric X-ray Polarimetry on LPD,
11470,https://indico.jlab.org/event/459/contributions/11470/,The U.S. CMS HL-LHC R&D Strategic Plan,https://indico.jlab.org/event/459/contributions/11470/attachments/9300/13495/210508%20-%20CHEP2023%20-%20Gutsche%20-%20U.S.%20CMS%20R%26D%20Strategic%20Plan.pdf
